network,loss_median,loss_full,accuracy_median,accuracy_full,ece_median,ece_full,nr_active_weights
0,17986.4296875,15554.7412109375,41.71,48.65,0.04407297704666852,0.032155350093543526,2987
1,17975.015625,16024.15234375,38.88,46.58,0.07751686848998073,0.025534587900340557,1598
2,17338.904296875,16079.63671875,42.36,47.05,0.013142636866867554,0.020948321536183367,2088
3,16447.974609375,15822.189453125,46.36,48.06,0.017302347855269937,0.026427591302990917,2585
4,16597.892578125,15861.1318359375,45.99,48.4,0.013570944927632791,0.02552993004769086,2928
5,16599.875,15900.798828125,45.33,48.21,0.013102714832127098,0.02211494449526071,2260
6,16769.5546875,16116.861328125,44.46,46.61,0.017403087058663353,0.023637049891054626,2072
7,16384.16796875,15481.4130859375,47.46,48.6,0.031462766550481316,0.024249863585829746,2088
8,17766.49609375,16431.1796875,40.44,45.02,0.026752855168283008,0.022605775034427636,1240
9,16744.939453125,15710.9228515625,45.5,47.5,0.0357171970821917,0.025822056892514236,2156
